AAR,BYDEL,ALDERSKAT,IETYPE,SOC_GRUPPE,SOCSTIL,PERSONER
2013,2,4,2,3,315,2
2013,2,4,2,3,316,18
2013,2,4,2,3,319,11
2013,2,4,2,3,322,19
2013,2,4,2,3,323,53
2013,2,4,2,3,331,162
2013,2,4,2,3,333,2
2013,2,4,2,3,340,257
2013,2,4,2,3,350,94
2013,2,4,2,3,360,1333
2013,2,4,3,1,115,3
2013,2,4,3,1,116,16
2013,2,4,3,1,118,1
2013,2,4,3,1,131,16
2013,2,4,3,1,132,103
2013,2,4,3,1,133,35
2013,2,4,3,1,134,75
2013,2,4,3,1,135,14
2013,2,4,3,1,136,8
2013,2,4,3,2,201,17
2013,2,4,3,2,202,8
2013,2,4,3,3,309,13
2013,2,4,3,3,311,1
2013,2,4,3,3,312,6
2013,2,4,3,3,322,4
2013,2,4,3,3,323,5
2013,2,4,3,3,331,11
2013,2,4,3,3,333,1
2013,2,4,3,3,340,20
2013,2,4,3,3,350,9
2013,2,4,3,3,360,30
2013,2,5,1,1,115,41
2013,2,5,1,1,116,140
2013,2,5,1,1,118,36
2013,2,5,1,1,120,2
2013,2,5,1,1,131,128
2013,2,5,1,1,132,679
2013,2,5,1,1,133,213
2013,2,5,1,1,134,451
2013,2,5,1,1,135,61
2013,2,5,1,1,136,131
2013,2,5,1,2,201,48
2013,2,5,1,2,202,6
2013,2,5,1,3,309,18
2013,2,5,1,3,311,4
2013,2,5,1,3,312,2
2013,2,5,1,3,316,7
2013,2,5,1,3,319,2
2013,2,5,1,3,323,7
2013,2,5,1,3,324,536
2013,2,5,1,3,326,39
2013,2,5,1,3,329,825
2013,2,5,1,3,331,348
2013,2,5,1,3,333,93
2013,2,5,1,3,340,49
2013,2,5,1,3,360,106
2013,2,5,2,1,115,6
2013,2,5,2,1,116,30
2013,2,5,2,1,118,2
2013,2,5,2,1,120,4
2013,2,5,2,1,131,8
2013,2,5,2,1,132,77
2013,2,5,2,1,133,13
2013,2,5,2,1,134,57
2013,2,5,2,1,135,15
2013,2,5,2,1,136,20
2013,2,5,2,2,201,14
2013,2,5,2,2,202,2
2013,2,5,2,3,309,4
2013,2,5,2,3,311,2
2013,2,5,2,3,312,2
2013,2,5,2,3,316,2
2013,2,5,2,3,319,1
2013,2,5,2,3,323,3
2013,2,5,2,3,324,64
2013,2,5,2,3,326,5
2013,2,5,2,3,329,101
2013,2,5,2,3,331,60
2013,2,5,2,3,333,9
2013,2,5,2,3,340,22
2013,2,5,2,3,350,1
2013,2,5,2,3,360,74
2013,2,5,3,1,132,4
2013,2,5,3,1,136,1
2013,2,5,3,2,201,2
2013,2,5,3,3,324,3
2013,2,5,3,3,331,2
2013,2,5,3,3,340,1
2013,2,5,3,3,360,2
2013,2,6,1,1,115,32
2013,2,6,1,1,116,141
2013,2,6,1,1,118,29
2013,2,6,1,1,120,3
2013,2,6,1,1,131,24
2013,2,6,1,1,132,131
2013,2,6,1,1,133,27
2013,2,6,1,1,134,104
2013,2,6,1,1,135,13
2013,2,6,1,1,136,116
2013,2,6,1,3,329,5627
2013,2,6,1,3,360,9
2013,2,6,2,1,115,1
2013,2,6,2,1,116,10
2013,2,6,2,1,118,6
2013,2,6,2,1,120,1
2013,2,6,2,1,131,4
2013,2,6,2,1,132,18
2013,2,6,2,1,133,1
2013,2,6,2,1,134,13
2013,2,6,2,1,135,1
2013,2,6,2,1,136,14
2013,2,6,2,3,316,1
2013,2,6,2,3,329,615
2013,2,6,2,3,333,1
2013,2,6,2,3,340,12
2013,2,6,2,3,360,46
2013,2,6,3,3,329,24
2013,2,6,3,3,340,1
2013,2,6,3,3,360,2
2013,3,1,1,1,132,1
2013,3,1,1,1,134,28
2013,3,1,1,1,135,15
2013,3,1,1,1,136,37
2013,3,1,1,3,400,7515
2013,3,1,2,1,134,5
2013,3,1,2,3,400,365
2013,3,1,3,1,132,2
2013,3,1,3,1,134,49
2013,3,1,3,1,135,8
2013,3,1,3,1,136,17
2013,3,1,3,3,400,3593
2013,3,2,1,1,115,1
2013,3,2,1,1,116,93
2013,3,2,1,1,118,21
2013,3,2,1,1,131,20
2013,3,2,1,1,132,735
2013,3,2,1,1,133,368
2013,3,2,1,1,134,4652
2013,3,2,1,1,135,584
2013,3,2,1,1,136,267
2013,3,2,1,2,201,41
2013,3,2,1,2,202,45
2013,3,2,1,3,309,82
2013,3,2,1,3,311,13
2013,3,2,1,3,312,39
2013,3,2,1,3,316,11
2013,3,2,1,3,322,9
2013,3,2,1,3,323,7
2013,3,2,1,3,331,19
2013,3,2,1,3,333,24
2013,3,2,1,3,340,172
2013,3,2,1,3,350,2624
2013,3,2,1,3,360,522
2013,3,2,2,1,115,8
2013,3,2,2,1,116,14
2013,3,2,2,1,118,2
2013,3,2,2,1,131,2
2013,3,2,2,1,132,52
2013,3,2,2,1,133,32
2013,3,2,2,1,134,306
2013,3,2,2,1,135,89
2013,3,2,2,1,136,96
2013,3,2,2,2,201,13
2013,3,2,2,2,202,6
2013,3,2,2,3,309,18
2013,3,2,2,3,311,2
2013,3,2,2,3,312,12
2013,3,2,2,3,316,1
2013,3,2,2,3,322,1
2013,3,2,2,3,323,2
2013,3,2,2,3,331,3
2013,3,2,2,3,340,37
2013,3,2,2,3,350,413
2013,3,2,2,3,360,477
2013,3,2,3,1,115,3
2013,3,2,3,1,116,11
2013,3,2,3,1,118,2
2013,3,2,3,1,131,2
2013,3,2,3,1,132,22
2013,3,2,3,1,133,26
2013,3,2,3,1,134,502
2013,3,2,3,1,135,114
